,a1,a2,a3,g1,g2,g3,y
0,4.435275e+00,8.196063e+00,2.974488e+00,1.421523e-02,-3.915695e-02,-1.674437e-02,0
1,4.18692,8.344455,2.908057,0.005770759,-0.004479538,-0.003345031,0
2,4.544637,8.408659,2.89,0.007967429,0.02241187,0.001158524,0
3,4.849308,8.411614,2.900692,0.02777778,-0.01067026,-0.01422302,0
4,4.50919,8.118649,2.847298,0.02157696,-0.04549827,-0.02111111,0
5,4.226515,8.273807,2.851742,0.01253351,0.0004453396,-0.01682951,0
6,4.532063,8.398341,2.856682,0.01448428,0.02876938,-0.01109119,0
7,4.433669,8.294719,2.823521,0.01633966,-0.02943391,-0.008997893,0
8,4.160676,8.260676,2.827568,0.01122162,-0.01674805,-0.006026728,0
9,4.432763,8.272613,2.79005,-0.002714629,0.02309352,0.01222222,0
10,4.511362,8.256774,2.820538,-0.002247848,0.001546742,0.01113674,0
11,4.098018,8.154184,2.901101,-0.01041791,-0.04285314,0.00503114,0
12,3.931769,8.203628,2.958186,-0.01523183,-0.006176894,0.01687657,0
13,4.524325,8.446963,2.874356,-0.003437972,0.0363096,0.04545092,0
14,4.615744,8.385348,2.782674,-0.002789545,0.01267713,0.05444444,0
15,4.392814,8.239121,2.830176,0.001527426,0.01557605,0.05281736,0
16,4.633221,8.197211,2.872404,-0.006495154,0.03982849,0.04034302,0
17,4.788242,8.201208,2.805275,-0.009607516,0.03215588,0.02574902,0
18,4.751849,8.22,2.847035,-0.01233031,0.01872676,0.0175616,0
19,4.612801,8.29,2.845603,-0.004444444,0.005675222,0.003213666,0
20,4.60388,8.246231,2.87694,-0.0005024171,0.01490545,0.001991718,0
21,4.524343,8.11697,2.89303,-0.02068526,0.02341981,-0.01493011,0
22,4.692491,8.268612,2.89,-0.02870572,0.01547004,-0.03527475,0
23,4.368817,8.431598,2.928402,-0.01207577,-0.0248618,-0.02721398,0
24,4.317462,8.435075,2.906269,0.002502284,-0.01027093,-0.00471537,0
25,4.474315,8.145685,2.885394,0.004275253,0.02265007,0.005641775,0
26,4.495308,8.13428,2.904692,-0.0097452,0.005973247,8.144551e-05,0
27,4.377758,8.317152,2.928363,-0.01109587,-0.006651421,-0.007770155,0
28,4.469736,8.229736,2.931542,0.0001850715,0.008750256,-0.008425869,0
29,4.672366,8.348441,2.880753,0.006626826,0.01526959,0.001357238,0
30,4.648427,8.259213,2.862157,0.0092075,-0.002539491,-0.0006345372,0
31,4.527203,8.179598,2.863199,-0.005440673,0.005191616,-0.01049811,0
32,4.516338,8.297325,2.893662,-0.008530729,0.005555556,-0.01551892,0
33,4.526018,8.31,2.86,-0.00912185,0.000448024,-0.01567204,0
34,4.440217,8.223478,2.883261,0.0006538839,-0.003790561,-0.01398722,0
35,4.431044,8.339478,2.881044,-0.001124993,0.001371537,-0.003333333,0
36,4.525374,8.304626,2.94,0.001334474,0.006449009,-0.004886892,0
37,4.338108,8.155946,2.96,-0.005707031,-0.0003283421,-0.009579138,0
38,4.411153,8.23682,2.91318,-0.01111111,0.008802587,-0.007265373,0
39,4.414446,8.117113,2.906443,-0.006446405,0.007377386,-0.004354379,0
40,4.462927,8.435732,2.908089,-0.01374836,0.0155723,-0.0007463224,0
41,4.555876,8.301752,2.88531,-0.002222222,0.008022874,-0.002222222,0
42,4.53317,8.26,2.88,-0.002818596,0.002050643,-0.001625849,0
43,4.403646,8.14339,2.903305,-0.002708765,-0.004687716,-0.005555556,0
44,4.323595,8.217769,2.915827,-0.0137073,0.002276131,-0.004444444,0
45,4.594754,8.446906,2.893094,-0.01833743,0.03354628,-0.008817908,0
46,4.536194,8.208259,2.931741,-0.007903041,0.01370912,-0.01003132,0
47,4.471175,8.289765,2.95,-0.002857862,-0.01023774,-0.006666667,0
48,4.338848,8.258848,2.971152,-0.005915899,-0.007372314,-0.005915899,0
49,4.428773,8.337755,2.941018,-0.008397248,0.01356932,-0.002841692,0
50,4.413227,8.323162,2.926645,-0.005264989,0.01009413,-0.0009658276,0
51,4.412504,8.224583,2.929165,4.65025e-05,-0.002754527,0.004710597,0
52,4.333198,8.247868,2.966802,-0.007417132,-0.002943514,0.008528243,0
53,4.474611,8.253397,2.92,-0.01104256,0.01584364,0.01111111,0
54,4.59996,8.323387,2.93,-0.01086915,0.02210124,0.0106272,0
55,4.600449,8.308427,2.913596,-0.009281195,0.004220631,-0.001521857,0
56,4.44683,8.20634,2.97317,0.001049119,-0.01319504,-0.006666667,0
57,4.614318,8.197159,2.941478,0.001618543,0.01555556,-0.003429582,0
58,4.578593,8.282889,2.95,-0.0009656762,0.01061276,-0.006843124,0
59,4.525329,8.293128,2.907181,0.0,-0.01176959,-0.02212231,0
60,4.393207,8.293207,2.933396,0.003590432,-0.02,-0.03032506,0
61,4.452739,8.238216,2.902739,0.0005318002,0.002158875,-0.01611903,0
62,4.493796,8.292408,2.943796,0.001270012,0.001109915,-0.01412784,0
63,4.378362,8.325244,2.96,-0.0009216912,-0.01880688,-0.02528413,0
64,4.290523,8.364736,2.921579,0.002222222,-0.02000492,-0.02355785,0
65,4.490514,8.278084,2.930467,0.009337251,0.01614684,-0.006666667,0
66,4.557312,8.131937,2.89,0.005353403,0.006566317,-0.007827953,0
67,4.34524,8.307605,2.919521,-0.0003624624,-0.01945631,-0.01943258,0
68,4.366484,8.39189,2.91,-0.005620686,-0.007548524,-0.01777778,0
69,4.477341,8.325502,2.886421,0.005555556,0.0128753,-0.01164716,0
70,4.526727,8.123637,2.875818,0.00256429,0.002572009,-0.01445216,0
71,4.322576,8.252272,2.93,-0.007777778,-0.01032977,-0.02444444,0
72,4.377197,8.352399,2.940404,-0.009345615,0.001172519,-0.02287661,0
73,4.354675,8.272987,2.938506,-0.004444444,0.001594173,-0.02192547,0
74,4.30579,8.33684,2.95579,-0.004444444,-0.003446171,-0.01546874,0
75,4.343136,8.260591,2.921568,0.0,0.01325274,-0.005555556,0
76,4.392762,8.23381,2.915524,-0.005442246,0.01620666,-0.007586673,0
77,4.328734,8.270569,2.923101,-0.008649909,0.007186519,-0.01357231,0
78,4.354028,8.381945,2.922083,-0.01111111,0.008096625,-0.0119839,0
79,4.435134,8.32911,2.93,-0.007777778,0.01965023,-0.001849277,0
80,4.581727,8.247937,2.898969,-0.007306806,0.02144945,-0.004106108,0
81,4.545952,8.234048,2.875952,-0.02126209,0.01681764,-0.02225446,0
82,4.513528,8.262157,2.917726,-0.02580295,0.009500919,-0.03345918,0
83,4.309071,8.315814,2.967443,-0.02444444,-0.005974607,-0.03540951,0
84,4.316402,8.406963,2.970561,-0.02825911,0.001479974,-0.02822313,0
85,4.40769,8.364612,2.962307,-0.01151424,0.001514241,-0.01666667,0
